职位名称,薪资,所在地,职位简介,职位详情,经验要求,学历要求,招聘人数,公司名称,类型,规模,领域,公司详情
薪酬数据分析,,上海,,|1.参加薪酬福利市场调研与数据分析；2.参加薪酬福利年度项目工作的开展：年度调薪、奖金方案及长期激励方案等；3.参与公司人力成本预算管理工作，向业务部门提供人力成本数据分析；4.其他薪酬福利项目的支持。任职资格：1、人力资源、统计、经济学及管理类等相关专业2、硕士3、熟练掌握薪酬调研方法论4、2-3年薪酬福利岗工作经验或数据分析经验|职能类别：薪资福利专员/助理|关键字：薪酬,3-4年经验,硕士,1,中芯国际集成电路制造（上海）有限公司,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,"中芯国际集成电路制造有限公司（“中芯国际”，纽交所代号：SMI，港交所股份代号：981），是世界领先的集成电路晶圆代工企业之一,也是中国内地技术最全面、配套最完善、规模***、跨国经营的集成电路制造企业，提供0.35微米到28纳米不同技术节点的晶圆代工与技术服务。中芯国际总部位于上海，拥有全球化的制造和服务基地。在上海建有一座300mm晶圆厂和一座200mm晶圆厂；在北京建有一座300mm晶圆厂和一座控股的300mm先进制程晶圆厂；在天津和深圳各建有一座200mm晶圆厂；在江阴有一座控股的300mm凸块加工合资厂；在意大利有一座控股的200mm晶圆厂。中芯国际还在美国、欧洲、日本和中国台湾地区设立行销办事处、提供客户服务，同时在香港设立了代表处。详细资讯请参考中芯国际网站www.smics.com。"
数据分析经理,0.8-1万/月,合肥,|五险一金|餐饮补贴|绩效奖金|年终奖金|节日福利|带薪年假,|【岗位职责】|1、日常经营数据的分析和报表的输出（包含但不限于日报、周报、月报）|2、根据经营数据分析结果，及时发现问题，提出合理建议|3、对数据进行深入挖掘，定期产出有价值的分析报告|【任职资格】|1、数学、统计学相关专业优先|2、精通EXCEL、PPT等办公软件，熟练使用SQL或其他分析软件的优先|3、工作严谨，有逻辑性，执行力强，有较强的抗压能力，有良好的沟通能力和团队协作精神，较强的时间管理和自我管理能力。|职能类别：数据分析经理/主管|关键字：数据分析,5-7年经验,本科,1,京东商城华东区域分公司,外资（欧美）,10000人以上,交通/运输/物流,"京东（JD.com）是中国***的自营式电商企业，根据第三方市场研究公司艾瑞咨询的数据，2014第二季度京东在中国自营式电商市场的占有率为54.3%。京东为消费者提供愉悦的在线购物体验。通过内容丰富、人性化的网站（www.jd.com）和移动客户端，京东以富有竞争力的价格，提供具有丰富品类及卓越品质的商品和服务，以快速可靠的方式送达消费者，并且提供灵活多样的支付方式。另外，京东还为第三方卖家提供在线销售平台和物流等一系列增值服务。京东提供13大类超过4000万SKUs的丰富商品，品类包括：计算机、手机及其它数码产品、家电、汽车配件、服装与鞋类、奢侈品（如：手提包、手表与珠宝）、家居与家庭用品、化妆品与其它个人护理用品、食品与营养品、书籍、电子图书、音乐、电影与其它媒体产品、母婴用品与玩具、体育与健身器材以及虚拟商品（如：国内机票、酒店预订等）。京东拥有中国电商行业***的仓储设施。截至2014年6月30日，京东建立了7大物流中心，在全国39座城市建立了97个仓库，总面积约为180万平方米。同时，还在全国1,780个行政区县拥有1,808个配送站和715个自提点、自提柜。京东专业的配送队伍能够为消费者提供一系列专业服务，如：211限时达、次日达、夜间配和三小时极速达，GIS包裹实时追踪、售后100分、快速退换货以及家电上门安装等服务，保障用户享受到卓越、全面的物流配送和完整的“端对端”购物体验。2014年5月22日，京东集团（纳斯达克股票代码：JD）正式在纳斯达克挂牌，目前市值约400亿美元。集团旗下拥有京东商城、京东金融、拍拍网等5个事业部。"
数据分析师,1-1.5万/月,广州,|五险一金|补充医疗保险|重疾保险|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检,|岗位职责：|1.负责数据仓库与业务情景分析的构建、维护、部署和评估；|2.负责业务数据分析需求的调研、分析及实现；|3.根据需求进行系统设计和详细设计，承担核心模块和核心功能开发；|4.熟练使用SQL，使用各类数据分析工具，分析报表，能快速对数据分析输出结果；                                 |5.拓展数据对用户模型精准度，实现动态处理。|岗位要求：|1.全日制重点本科及以上学历，具备良好的数据敏感度，能从海量数据提炼核心结果，有数据分析、挖掘、清洗和建模的经验，1年以上开发经验；|2.熟悉Oracle、MySQL等主流数据库，具有良好的SQL语言开发技能，掌握存储过程、函数等开发技术；|3.熟悉Linux、shell，python脚本；|4.熟悉hadoop，HDFS、Hive、Sqoop大数据平台；|5.具备良好的学习能力和分析解决问题能力。|职能类别：产品经理/主管软件工程师|关键字：数据分析数据分析大数据数据处理数据挖掘统计数据分析师sql,2年经验,本科,若干,中国联合网络通信有限公司广东省分公司,国企,1000-5000人,通信/电信/网络设备,广东联通简介中国联通是一家经营综合电信业务的国有特大型骨干电信运营企业，拥有覆盖全国、通达世界的通信网络，是国内***一家在纽约、香港、上海三地上市的电信运营企业，为超过4.5亿用户提供全方位、高品质的信息通信服务。中国联通是北京2022年冬奥会和冬残奥会官方通信服务合作伙伴，2018年位列《财富》世界500强第273位。目前，中国联通是首家集团层面整体推进混合所有制改革的中央企业，正在实施聚焦创新合作战略，致力于建设“五新”联通。中国联通广东省分公司是中国联通收入规模***、地位最重要、创新最活跃的省级分公司。近年来，广东联通围绕落实网络强国、数字中国战略，围绕习***总书记对广东省“四个走在全国前列”等重要批示指示精神，践行新发展理念，推动高质量发展，重点实施数字化创新“三大转型”，2016年收入规模跃居中国联通各省分公司第1名。近年来，广东联通凭借领先的新一代信息基础设施，成功树立产业互联网专家形象，助力广东省实体经济发展与产业转型升级。2013至2018年公司累计获得150余项***、省部级、集团级荣誉，成功打造责任央企的领先形象。
数据分析员,0.8-1万/月,佛山,,|职能类别：大数据开发工程师|关键字：数据分析电商数据,1年经验,本科,1,美的集团热水器事业部,民营公司,5000-10000人,家具/家电/玩具/礼品,美的厨热事业部是美的集团旗下专业研发、制造和营销电热水器、燃气热水器的供应商，拥有目前全球最具规模的芜湖现代化生产基地，集研、产、销于一体的大型综合性整体方案解决供应商。生产基地位于安徽省芜湖市经济开发区，占地442亩，总投资逾8亿元人民币，于2010年8月正式建成投产。工业园建设在厂房设计、工艺物流布局、设备及固定资产投入等方面都是高标准、高起点、高要求，以打造行业内规模以及生产效率一流的热水器产品生产基地。美的热水器事业部，下设国内营销部、海外营销部、电热产品部、燃热产品部、生产制造部、技术品质部、财务管理部、营运与人力资源部八个一级部门。热水器事业部坚持“客户导向，品质至上，经营简单”的理念，在产品研发、品质保障、生产制造等方面拥有一流的硬件设备、优秀的技术人员及先进的管理方式，产品获得“中国名牌产品”、“中国节能产品认证”、“中国环保产品认证”、“高新技术企业”、“国家试验站“、“广东省名牌”、“红棉奖”、“IFA”、”爱普兰奖“、“家用电器创新奖”、“中国热水器市场最值得信赖品牌”、“广东省院士专家企业工作站”等多项荣誉称号，在由国家财务部、商务部共同主导的“家电下乡”热水器招标项目上，美的电热、燃热产品全部中标，在2012年6月，燃气热水器中标国家节能惠民工程产品。事业部热水研究院汇集150余人长期从事热水器科技研发业内精英，科技投入占整体收入3%，拥有业内领先的研发能力，产品具有自主知识产权，拥有300多项国内专利。展望未来，事业部将本着“构造最具人性化、科技化的浴室家居环境”的崇高使命，以人性化为核心，激情，务实，时刻保持创新，充分发挥先进技术、设备和人才优势，真正达到全球经营模式，实现海外市场破局，成为热水产业系统解决方案专家，顾客导向的敏捷企业，致力在2015年收入达到30亿元，致力成为行业综合地位前三，成为中国最受客户尊敬的热水器设施供应商。
数据分析专员,0.8-1万/月,广州,|五险一金|餐饮补贴|绩效奖金|年终奖金|定期体检|电脑补贴|员工旅游|专业培训|交通补贴,|岗位职责：|1、日常监控数据，实时发现并解决广告投放中出现的问题；|2、负责部门广告数据整理与分析，能够基于数据分析得到有价值的信息，为广告投放决策供数据支持；|3、优化并不断改进市场广告流程以及报表系统。|4、收集并拓展游戏行业内数据报告；|5、完成部门日常的其他数据支撑工作。||任职要求：|1、 本科以上学历，数据分析专业相关（理学、统计学专业优先）|2、 具有优秀的学习能力，条理清晰，有良好的表达能力及沟通能力，有较强的组织语言文字功底，数据分析和逻辑能力；|3、 做事认真细心，有上进心，有责任感，能承受工作压力，适应游戏公司的快节奏。|4、 态度积极，有较好的沟通能力，游戏产品手游有一定理解了解；|5、 精通Excel各项分析与统计，掌握一些基础数据分析工具；|6、 具有相关游戏分析相关工作经验优先；|职能类别：业务分析专员/助理,1年经验,本科,4,三七互娱,上市公司,1000-5000人,网络游戏,三七互娱，全球TOP25上市游戏企业，位列中国第三，凭借优异业绩被纳入中证沪深300指数、明晟MSCI指数、高盛“新漂亮50”名单，是国内A股优秀的社会公众公司（股票代码：002555）。三七互娱的研发与发行总部设在广州，并在北京、上海、安徽、江苏、湖北、四川、中国香港、东南亚、日韩及欧美等多个地区设有子公司或办事处等分支机构。三七互娱旗下拥有全球顶尖的游戏研发品牌三七游戏，以及37网游、37手游、37GAMES等全球知名的专业游戏运营平台；聚集了来自全国各地的网络精英及高素质管理人才，形成了投入、精细、分享、创新的企业价值观。作为全球领先的游戏研发商、运营商，三七互娱以“传承中华文化精髓”为理念，积极推动国产游戏的全球化发展，同时积极布局影视、音乐、艺人经纪、动漫、VR、文化健康产业及互联网少儿教育等领域。此外，三七互娱积极开展互联网企业党建工作，深入学习贯彻***新时代中国特色社会主义思想和十九大精神。为践行企业社会责任，三七互娱还成立了广东省游心公益基金会，累计捐赠近2000万元，用于边远地区高中教育等公益事业。未来，三七互娱将持续为大众提供优质健康的文化创意产品，为中华优秀传统文化的传承发展贡献自身力量。三七互娱，玩心创造世界！企业文化精神：玩心创造、耐心发展、匠心经营、知行合一愿景：成为全球文创行业的领跑者--为丰富人们美好精神生活创造无限价值使命：传承中华文化精髓，助力民族文化出海价值观：投入、精细、分享、创新人才培养我们非常重视人才的培养，为了快速输出优秀的专业和管理人才，公司成立了“三七互娱企业大学”，并围绕三七人需具备的职业素养，设立5X计划，建设各级学院、搭建学习平台。薪酬福利倡导“有情有义有家有爱“的家文化，建立了Family的员工关怀福利体系，从有趣(F)、丰富（A）、音乐（M）、贴心（I）、有爱（L）、美味（Y）六个方面为员工提供全方位的服务。1）有趣：全民运动会、各类俱乐部、周年庆、时令活动、部门活动、生日活动、年会等等。关心员工的业余生活，工作之余也能充满乐趣。2）丰富：五险一金、年假、带薪假期、特色假期、笔记本补贴、双休、全勤奖、交通补贴等等。关心员工的生活保障，工作起来更放心。3）音乐：37FM、三七好声音、音乐节等等，关心员工的全方位发展，提供才艺展现的舞台。4）贴心：住房免息贷款、年度体检、健康讲座、员工餐饮、家庭日活动、联谊活动、贴心细节服务、春运包车回家等等。关心员工的衣食住行，真正帮助员工“安居乐业”。5）有爱：爱心基金、母婴室、爱心药箱等等。关心员工的家庭和幸福，感受到公司满满的爱心。6）美味：营养早餐、节日下午茶、餐费补贴、养生花茶供应等等。关心员工的身体健康，提供安全的后勤支持。
电商AI系统数据分析师,2-2.5万/月,上海,,"|背景： |百胜中国是中国***的餐饮集团，拥有肯德基、必胜客等著名品牌|百胜中国的数字化建设业界领先，拥有庞大的会员基础，广泛的数字化生态系统，和海量的交易数据| |主要职责： |参与负责多个百胜电商AI系统，如电商智能推荐系统，该智能系统覆盖6000多家门店，对上亿用户进行线上精准推荐，是百胜中国拥抱AI，提升业务增长的强大引擎之一|深入了解业务场景，探索AI在业务场景落地的机会点，并通过数据分析、AI模型的尝试，验证可行性|参与算法的开发和持续优化|协调业务资源，与业务伙伴沟通，并制订推进AI项目，确保项目进度，对所负责的AI项产品的商业或业务效果负责|任职要求： |本科或以上学历，计算机软件、应用数学、统计等相关专业|对业务逻辑和数据变化敏感，具备优秀逻辑分析能力和系统性问题思考能力，可以应对复杂业务场景的业务梳理，并依据数据主动发现AI机会点|快速业务学习和理解能力，有强大的自驱力，良好的沟通与协调能力|2年以上互联网、电商工作经验，有大数据、人工智能行业背景相关经验优先|熟悉Python, Java等开发语言，熟悉常用数据统计和分析方法，有良好的数据分析能力，善于用数据进行分析、归纳、发现、解决问题|精通SQL，有Hive，spark经验优先|了解经典机器学习、深度学习算法的原理和应用，如XGBoost/LR/CNN/RNN等|了解统计学基础知识和常用方法，了解假设检验，AB测试，各种常用统计分布|了解hadoop,hive,hbase,storm,kafka或相关一种或多种大数据处理平台|职能类别：数据分析师BI工程师",3-4年经验,本科,1,百胜咨询（上海）有限公司,外资（欧美）,500-1000人,餐饮业,"百胜中国控股有限公司（YumChinaHoldings,Inc.）是中国领先的餐饮公司，致力于让生活更有滋味。自从1987年在北京前门开出***家肯德基餐厅以来，百胜中国今天在大陆的足迹遍布所有省市自治区，在1,100多座城镇经营着7,300余家餐厅。百胜中国于2016年10月31日从Yum!Brands（纽约证券交易所代码：YUM）分拆出来，并于11月1日独立在纽约证券交易所上市，股票代码为YUMC。经过三十年的发展，我们不仅在店面数量，而且在品牌知名度、社交及数字媒体营销和传播、全国供应链管理、产品质量、以及创新方面都已经成为了一家中国领先的餐饮企业。百胜中国约40万的员工是我们发展的支柱，与此同时在百胜积累了长期丰富经验的管理团队也正在继续引领发展活力充沛、直面机遇、和充满欢乐的企业文化。百胜中国将通过产品的创新、就餐体验的提升、增强移动连接、以及持续创造价值来满足消费者不断改变的需求。百胜中国对于未来长期的发展充满信心。"
数据分析师,2-3万/月,上海,|五险一金|补充医疗保险|免费班车|餐饮补贴|年终奖金,|职能类别：数据分析师,3-4年经验,本科,1,完美世界（上海）/完美时空,民营公司,150-500人,网络游戏,完美世界(北京)网络技术有限公司（以下简称：完美世界）是中国领先的网络游戏开发商和运营商之一。公司成立于2004年，凭借强大的技术实力、富有创意的游戏设计能力，以及对各地文化差异的深刻理解和丰富的市场经验，完美世界先后推出了《完美世界》《武林外传》《完美世界国际版》《诛仙》《神雕侠侣》《笑傲江湖OL》等客户端网络游戏，《诛仙手游》、《倚天屠龙记》手游、《神雕侠侣》手游、《射雕英雄传手游》、《梦间集》手游、《武林外传手游》等移动网络游戏，《无冬OL》主机版、《3对3街头篮球》PS4版、《非常英雄(UnrulyHeroes)》主机版等主机游戏以及《深海迷航》等VR游戏，并代理了《DOTA2》《CS:GO》等知名电竞产品，不断为全球玩家带来精彩的娱乐体验。自2015年开始，完美世界成功主办了三届DOTA2亚洲邀请赛，并得到央视等主流媒体的跟踪报道，完美世界还主办了CS:GO亚洲邀请赛等赛事，引起社会的广泛关注，用专业水平和实力推动了中国电竞行业的发展。2018年3月，完美世界举行完美世界游戏品牌战略发布会，发布年轻化品牌战略，正式发布了包括《新诛仙世界》《完美世界主机版》《梦间集天鹅座》《烈火如歌》《神雕侠侣2》《失落的神域》《梦魇》《时代的崛起》《我的起源》《射雕三部曲》《边缘计划》《非常英雄》（主机和PC端）《奥域：王国崛起》《新笑傲江湖》手游、《轮回诀》等十余款自主研发的新游戏，包含角色扮演、二次元、沙盒、SLG等几乎游戏产业的所有领域。同时，发布“大IP战略”，以完美世界知名的三大IP《完美世界》《诛仙》《梦间集》为基础，对三大IP进行全产业链开发，形成较为系统的完美世界IP生态圈。此外，发布会还推介了包括《面条人》《赦免者》《隐龙传：影踪》《洪潮之焰》在内的数款独立游戏。同年6月，完美世界与美国Valve公司开启“STEAM中国”项目合作。完美世界负责将STEAM海外游戏产品引进至STEAM中国并进行本地化等相关工作，同时负责推荐及支持中国游戏产品在STEAM中国的发行及运营。完美世界将通过STEAM中国推出更多游戏产品，为中国玩家及开发商提供高品质的内容以及更优越的体验与服务，同时助力中国游戏企业，尤其是中小游戏公司更好地“走向”海外。公司地址：上海杨浦区杨树浦路1088号13F(邮编：200082)公司官网：http://www.wanmei.com
数据分析实习生 (MJ000230),4-5千/月,广州,,|岗位职责：|1、完成指定的业务部门数据统计、数据提取的需求|2、协助完成数据分析指标体系的建设|3、协助完成数据分析相关报告 |4、协助部门执行和完善数据规范|岗位要求：|1、全日制本科数学、统计学或计算机专业大三在读学生，有相关岗位的实习经验者优先考虑；|2、熟悉HiveSQL，熟练使用HiveSQL进行数据操作；|3、有扎实的数学基础知识以及计算机基础知识|4、学习能力强，能够快速上手。|职能类别：数据分析师|关键字：数据分析数据挖掘,在校生/应届生,本科,5,广州荔支网络技术有限公司,上市公司,500-1000人,互联网/电子商务,荔枝（原荔枝FM）是国内***的UGC音频社区。荔枝以“帮助人们展现自己的声音才华”为使命，重塑了传统音频行业中原本割裂的音频制作、存储、分发产业链，实现了每一个人都可以通过手机一站式进行创造、存储、分享和实时互动，让人们“用声音记录和分享生活”，由此积累了大量的用户和内容创作者，形成了生机勃勃的UGC音频社区。这让荔枝被外界视为音频版的Instagram和YouTube。2020年1月，荔枝正式登陆纳斯达克交易所，交易代码为LIZI.US，成为中国在线音频***股。2019年，荔枝app被评为年度中国互联网企业100强，广州互联网企业20强，国家年度***数字文娱平台。2018年11月，荔枝app被评为中国新经济行业独角兽。2018年1月3日，荔枝宣布获得5000万美元D轮融资，由老牌基金兰馨亚洲领投，新兴的媒体和互联网投资平台EMC跟投，泰合资本独家担任融资顾问；2015年1月，荔枝获得2000万美元C轮融资，投资方为小米科技、顺为资本、经纬创投、晨兴资本。企业文化企业使命：帮助人们展现自己的声音才华企业愿景：成为全球***的声音平台品牌口号：用声音，在一起企业核心价值观：用户***，目标一致，学习分享，关爱他人我们不一样1、过自己的节，把“经典”穿在身上-荔枝有属于自己的节日——荔枝声音节，这是全公司的狂欢，与明星代言人，平台主播一起游戏一起high；-每年夏天，荔枝都会选出一支经典摇滚乐队，根据其唱片专辑元素设计一款致敬T-shirt，荔枝员工可一起穿致敬T-shirt来上班。2、包你三餐，管你胖-每天享受由荔枝御厨精心烹饪的营养三餐，包你吃得白白胖胖。3、来了，就不想下班-身处广州羊城创意产业园，繁华市区，办公配别墅，人体工程学椅，技术族员配备机械键盘、苹果设备，办公和休憩，闹中取静，交通便利，吃喝不愁。4、薪酬福利和奖金-齐全的五险一金、商业保险和每年的健康体检，行业竞争力的薪酬水平，还设有留才奖、年终奖等5、一起下午茶，还有甜点-你喜欢咖啡、茶、零食还是我？时不时还会品尝到美女同事的手作私房甜品。6、玩，在一起，兴趣家族等你来加入：-健身暴走家族、篮球家族、电影家族、读书家族、游戏家族、猫奴家族......-一起游园，一起打球，一起游戏、一起撸猫、一起看电影！7、运动最可爱，读书更优秀-你健身，我买单，健身一起约~-你读书，我买单，年度购书补贴1000元~8、暖心礼品爱心包-各种节日礼品和红包，过年父母礼金，结婚/生育礼金，员工爱心基金，一年到头被浓浓爱意包裹。9、彼此欣赏，一起加油-没有复杂棘手的关系，只有紧密的联系，平等的追求。
数据分析师,1.2-1.6万/月,深圳,,|岗位职责：|1. 针对产品运营链条的各类关键数据，建立完整的数据分析体系，通过数据分析驱动业务优化迭代；|2. 深入理解业务、产品、用户和场景，通过数据分析洞察业务关联，全面梳理产品运营体系； |3. 设计并规划相关数据分析项目的可行性数据框架，同时确保该设计方案的最终实施；|4. 响应各种临时性数据分析需求，制作逻辑清晰的分析报告|职位要求：|1. 具有互联网行业背景，对移动互联网发展有清晰认识，对数据分析有浓厚的兴趣|2. 熟悉linux环境，hadoop仓库环境，精通hivesql，有海量数据处理经验；|3. 熟悉常见数据分析理论，能够通过专业分析技能为公司识别并落地价值；|4. 对数据敏感，有较好的逻辑思维能力，能独立编写数据分析报告。|职能类别：数据库工程师(DBA)|关键字：数据分析,2年经验,本科,1,中软国际科技服务有限公司,合资,10000人以上,计算机软件,"中软国际有限公司（以下简称：中软国际）成立于2000年，为香港主板上市公司，股票代码354。中软国际是中国大型综合性软件与信息服务企业，提供从咨询、解决方案、技术服务到IT人才培养的“端到端”软件及信息服务，目前已经覆盖政府、制造流通、金融银行、保险证券、移动应用、电信、高科技、公用事业、能源等多个行业。中软国际服务遍布全球，业务覆盖包括中国大陆和中国香港地区、美国普林斯顿、西雅图、奥斯丁和华盛顿、英国伦敦、爱尔兰都柏林和日本东京在内的数十个城市，服务于百余家跨国企业客户，员工逾25,000人。目前公司提供的服务主要包括：1.专业服务包括咨询服务、解决方案和集成与服务三大类。咨询服务包括：战略咨询、业务咨询和信息化规划咨询。解决方案包括涉及电子政务、审计、行政许可管理、银行卡、信用卡、支付与清算、信贷管理、保险业务、手机支付、移动电子商务、制造执行系统（MES）、物流管理、轨道交通AFC/ACC、智能交通等在内六十多个行业解决方案，以及包括ERP、企业核心应用、企业微博、数据中心、物联网、云计算等在内的通用解决方案；集成与服务主要包括系统集成、系统维护和系统运行服务。2.技术服务包括人力资源外包、产品研发与测试服务、产品部署与支持服务、IT基础设施管理服务、应用开发与测试服务、遗留系统升级及移植服务、客户联络中心服务、BPO、EPO、KPO、软件产品全球化服务和多媒体内容翻译服务等服务。3.新兴服务着重于新兴互联网服务和研发，包括社交应用服务、移动互联网应用服务、云计算应用服务和大数据应用服务等，并以“平台服务+定制开发”的创新方式向客户提供解决方案。4.卓越培训服务包括大学生培训（实训）和社会培训服务，涵盖面向各行业的各种国际认证培训。公司拥有自主知识产权SOA中间件平台产品ResourceOne（R1），该产品经过十年研发，历经四大版本，目前已具备云计算和物联网平台能力，为公司解决方案业务提供了强大的应用基础平台支撑。公司还建立了遍布全国的信息技术实习训练基地（ETC）体系，提供以人才供应链为导向的培训服务，为公司主营业务提供人力资源保障。“奋斗为本，成就客户，创造分享，共同成长”是中软国际的企业精神和核心价值观，是公司多年来奋斗历程和集体智慧的总结，也是未来中软国际发展的精神基石。中软国际科技服务有限公司（以下简称“合资公司”）是中软国际有限公司（以下简称“中软国际”）与全球领先的信息与通信解决方案供应商华为技术有限公司（以下简称“华为公司”）合资成立的，总部位于西安；中软国际和华为公司的持股比例分别为60%和40%。合资公司将利用中软国际在外包领域的运作经验、客户关系和业务积累，以及完整的外包团队和人力资源供应体系以及华为成熟的管理平台和质量体系、软件外包业务需求，开拓全球业务流程和IT外包服务市场，成为立足中国、服务全球的业务流程和IT外包服务旗舰公司。电子邮箱：recruitment.osg@chinasoftinc.com公司网站：http://www.chinasofti.com微博地址：http://weibo.com/chinasoftiosg公司地址：西安公司总部地址：西安市雁塔区云水一路与天谷八路十字中软国际新基地联系电话：（029）88811800传真号码：（029）88811722深圳公司地址：01.深圳市南山区科技园数字技术园A1栋二楼02.深圳市龙岗区坂田街道雪岗北路岗头发展大厦10/11F联系电话：（0755）86133736传真号码：（0755）86133799成都公司地址：四川省成都市高新西区西芯大道3号国腾园1号楼5层（电子科大成都学院旁）联系电话：(028)87803717传真号码：(028)87803170南京公司地址：01.南京市雨花台区软件大道66号华通科技园2/3F02.南京市雨花台区花神大道23号斯威特大厦西4F联系电话：(025)86378000传真号码：(025)86378000济南公司地址：济南市历城区华能路77号华龙大厦四楼联系电话：(0531)82378801传真号码：(0531)82378800上海公司地址：上海市徐汇区桂箐路69号29号楼2楼联系电话：（021）51751660传真号码：（021）51751661北京公司地址：北京海淀区科学院南路融科资讯中心C座北楼12层联系电话：（010）82861666传真号码：（010）82861666杭州公司地址：杭州市滨江区长河路475号和瑞科技园S5东二层联系电话：(0571)86480828传真号码：(0571)28880031长沙公司地址：长沙市高新技术开发区火炬城M7-2栋6F/7F联系电话：(0731)82927286传真号码：(0731)82927288广州公司地址：广州市天河区体育西路109号高盛大厦8E联系电话：(020)38209033传真号码：(020)38209033武汉公司地址：武汉市洪山区关山大道光谷软件园A9-3楼联系电话：(027)87295008大连公司地址：大连高新技术产业园区软件园东路5号3号楼6层601室联系电话：(0411)84760101-871"
数据分析助理（5000薪资+双休）,0.8-1万/月,广州,,|1、对金融经济知识感兴趣，希望踏足金融圈的；|2、有无经验亦可，金融专业以及具有操作经验者优先考虑；|3、有较强的学习能力，公司提供完善免费的交易培训；|4、有求知欲，有集体荣誉感，有上进心，有赚钱的信心和欲望；|5、有冷静的头脑与不被别人影响的判断力，能够坚持己见。||岗位职责：|1.定期整理交易数据，向上级领导账户分析结果；|2.按照要求进行技术和基本面规律的分析，进行数据的搜集及整理；|3.严格执行公司各项制度，配合部门领导有关工作；|4.负责为客户提供完善的理财计划及信息咨询；|5.遵守公司的各项管理制度，承办领导交办的其他工作。||公司福利：|1、接受想转行、无经验或应届毕业生。公司有成熟完善的培训体系，全方位的培训内容，为您提供免费岗前培训。|2、按月评比优秀员工，给予通报表彰。|3、丰富的企业文化活动，篮球赛、羽毛球、台球等；年度旅游活动（由各分公司自行安排）。|4、年假15天，提前回家过春节！法定节假日正常放假，节假日各种礼品。|5、工作时间：周一至周五 上午9:30-12:00，下午14:00-17:50，双休（不加班），法定节假日带薪休假|6、五险一金、结婚红包、三个月一次晋升机会，每月的绩效奖金，年底红包等丰厚的福利等着你|7、我们的工作是每天接触高端金融、互联网人才，你的圈子从此大不同。|8、5000薪资+高额提成+奖金（优越者年薪二十万以上）|职能类别：金融/经济研究员投资/理财顾问,无需经验,大专,5,广东兆丰恒业控股集团有限公司,合资,500-1000人,金融/投资/证券,二十多年来，兆丰恒业集团曾从事房地产、酒店、期货、文化休闲等产业。目前专注于：互联网金融+科教文卫领域的投资经营，在中国香港、新西兰、北京、上海、天津、广州、哈尔滨、苏州、温州、西安、南宁等地均设有分公司。见证和参与了改革开放以及经济腾飞的巨变，我们倍感自豪。我们励精图治，从单一型经营到多元化发展，业务和分公司遍布全国各大城市，实现了跨越式发展。我们不断地探索和锤炼，精益求精。面对错综复杂的国际形势，我们积极进行理论和实践的开拓，加强内部管理和企业文化的建设，以市场为导向，以人才团队建设为根本，以研究和技术进步为依托，完善客户服务体系，提高服务水平，扩大业务规模，全面提升企业的价值观与核心竞争力。二十多年的积淀，为公司的成长和腾飞培育了肥沃的土壤，我们将不断努力，继续进步。我们始终贯彻人才立业的理念。在人才培养方面，我们拥有最资深和***的专业人才，以及最先进和最快速的交易设备；公司始终致力于为各界精英提供广阔的发展平台，助力优秀人才的成长与腾飞。我们持续推进与同行各界的对话与合作，建立长期的战略合作伙伴关系，取长补短、优势互补，将双方的资源、优势有机地结合起来，实现企业的长期合作与共同发展。展望未来，随着中国经济的快速发展，对内改革、对外开放的程度将不断加深，文化产业将迎来新一轮的发展杌遇，中国金融市场的国际地位和影响力也将越来越大。让我们以坚定的信念和饱满的激情，共同绘制属于我们的美好蓝图，在公司“共创、共享、共成长”的价值观中实现自己的梦想，实现“中国梦”！兆丰恒业集团（前身是广东新时代总公司，为原广州军区后勤部属下企业），创立于1993年，后改为控股集团公司。集团曾从事房地产、酒店、期货、文化休闲等产业。目前专注于：互联网金融+科教文卫领域的投资经营，在中国香港、新西兰、北京、上海、天津、广州、哈尔滨、苏州、温州、西安、南宁等地均设有分公司。在科技领域，与中科院电子所合作，成立广东中科兆丰科技有限公司，利用中科院电子所十几年研发3D打印技术的成果，走产业化道路，占领广东3D打印事业的制高点。在教育传媒领域，与南方影视传媒集团、南方出版传媒股份有限公司（股票代码：601900）合作，成立广东现代教育传媒股份有限公司，运营广东广播电视台现代教育频道，是广东省***的教育频道。在文化传媒领域，兆丰恒业集团与中华报业集团合作成立中华新闻通讯社集团有限公司，运营中华新闻通讯社，中华新闻通讯社为香港政府批准的通讯社，为全球华人提供新闻、文化、经济等资讯。在卫生领域，设立广东省私人医生协会，致力于高端医疗服务的私人定制业务。
