成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101103854583,4室2厅,恒大绿洲,164.22,178,191,10840,436,2020.02.23,南北,精装,,高楼层(共33层),板塔结合
101106500232,2室1厅,枫叶高层小区,83.53,200,202,23944,69,2020.02.19,东南,简装,,中楼层(共20层),塔楼
101106054548,2室2厅,海棠花园,92.8,145,146,15625,119,2020.02.16,东南,精装,,低楼层(共33层),板塔结合
101105675483,3室2厅,中天锦庭,99.31,155,158,15608,139,2020.01.22,南北,毛坯,,高楼层(共34层),板塔结合
101104884945,3室2厅,香榭兰廷,101,330,335,32674,231,2020.01.22,南,毛坯,,高楼层(共32层),板楼
101105925884,3室2厅,御锦城萨拉曼卡,132,222,228,16796,109,2020.01.22,南北,毛坯,,中楼层(共9层),板楼
101105067069,2室2厅,超英长乐家园,106,106,108,10000,208,2020.01.22,南,简装,,高楼层(共15层),板塔结合
101105527728,3室1厅,湾流,87,118,118,13506,155,2020.01.22,东南,毛坯,,低楼层(共33层),板楼
101103849103,3室2厅,翡丽城,86,150,155,17442,405,2020.01.22,南,精装,,低楼层(共33层),板塔结合
101106509208,1室1厅,莱安逸境,47.09,84,85,17839,39,2020.01.22,南,精装,,低楼层(共32层),塔楼
101103453197,2室1厅,东方米兰国际城,89,137,140.5,15394,477,2020.01.22,南北,毛坯,,中楼层(共33层),板塔结合
101106386650,3室2厅,长庆恒立苑住宅小区,114.68,84,85,7308,55,2020.01.22,南北,毛坯,,高楼层(共24层),板塔结合
101106738498,2室1厅,颐馨湿地壹號,81.93,86,89,10497,11,2020.01.22,南,精装,,低楼层(共30层),板塔结合
101106316757,2室1厅,民航社区,52.55,56,56,10562,63,2020.01.22,南,简装,,低楼层(共3层),板楼
101105407018,2室1厅,华远君城,85.42,109,110,12702,168,2020.01.22,东北,精装,,低楼层(共32层),板楼
101106746810,2室1厅,恒大翡翠龙庭,77.2,103,105,13342,10,2020.01.22,东南,精装,,中楼层(共32层),板塔结合
101106215149,3室2厅,恒大城,114.84,181,182,15718,76,2020.01.21,南北,精装,,高楼层(共32层),塔楼
101105340632,1室1厅,白桦林居小区,62.69,79,84,12602,176,2020.01.21,东,精装,,高楼层(共9层),塔楼
101106750944,3室2厅,友泰小区,80.46,95,95,11808,9,2020.01.21,南北,其他,,低楼层(共7层),板塔结合
101105740353,3室2厅,北康社区海璟新天,134.51,158,165,11747,130,2020.01.21,南北,精装,,低楼层(共33层),板塔结合
101106650340,2室2厅,三迪枫丹,85.21,115,116,13497,23,2020.01.21,南,精装,,中楼层(共34层),板塔结合
101106665162,3室2厅,恒大御景,133.73,170,175,12713,21,2020.01.21,北南,精装,,中楼层(共33层),板楼
