成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101103854583,4室2厅,恒大绿洲,164.22,178,191.0,10840,436,2020.02.23,南北,精装,板塔结合,23.151328114767217,113.21689737290022,高楼层,33
101106500232,2室1厅,枫叶高层小区,83.53,200,202.0,23944,69,2020.02.19,东南,简装,塔楼,22.974092998142496,113.30755400561506,中楼层,20
101106054548,2室2厅,海棠花园,92.8,145,146.0,15625,119,2020.02.16,东南,精装,板塔结合,18.34801783549779,109.71318002841308,低楼层,33
101105675483,3室2厅,中天锦庭,99.31,155,158.0,15608,139,2020.01.22,南北,毛坯,板塔结合,40.12913729619952,116.61864515869479,高楼层,34
101104884945,3室2厅,香榭兰廷,101.0,330,335.0,32674,231,2020.01.22,南,毛坯,板楼,39.94340647687181,116.34832293242688,高楼层,32
101105925884,3室2厅,御锦城萨拉曼卡,132.0,222,228.0,16796,109,2020.01.22,南北,毛坯,板楼,34.29068012034662,109.05128675448941,中楼层,9
101105067069,2室2厅,超英长乐家园,106.0,106,108.0,10000,208,2020.01.22,南,简装,板塔结合,25.96925744807659,119.52943832000868,高楼层,15
101105527728,3室1厅,湾流,87.0,118,118.0,13506,155,2020.01.22,东南,毛坯,板楼,31.27562065585324,121.34293920690517,低楼层,33
101103849103,3室2厅,翡丽城,86.0,150,155.0,17442,405,2020.01.22,南,精装,板塔结合,34.2704250362299,108.89037104272327,低楼层,33
101106509208,1室1厅,莱安逸境,47.09,84,85.0,17839,39,2020.01.22,南,精装,塔楼,30.704268640995995,103.8389174515093,低楼层,32
101103453197,2室1厅,东方米兰国际城,89.0,137,140.5,15394,477,2020.01.22,南北,毛坯,板塔结合,19.10110473128863,108.65856652679174,中楼层,33
101106386650,3室2厅,长庆恒立苑住宅小区,114.68,84,85.0,7308,55,2020.01.22,南北,毛坯,板塔结合,38.09064920537079,114.5350142096515,高楼层,24
101106738498,2室1厅,颐馨湿地壹號,81.93,86,89.0,10497,11,2020.01.22,南,精装,板塔结合,40.05801305432694,116.31559901015666,低楼层,30
101106316757,2室1厅,民航社区,52.55,56,56.0,10562,63,2020.01.22,南,简装,板楼,34.770641530054924,113.70460227079549,低楼层,3
101105407018,2室1厅,华远君城,85.42,109,110.0,12702,168,2020.01.22,东北,精装,板楼,28.196087663733266,112.97809866332844,低楼层,32
101106746810,2室1厅,恒大翡翠龙庭,77.2,103,105.0,13342,10,2020.01.22,东南,精装,板塔结合,30.95582382920355,104.13870697308214,中楼层,32
101106215149,3室2厅,恒大城,114.84,181,182.0,15718,76,2020.01.21,南北,精装,塔楼,38.71085864002598,116.66040917846469,高楼层,32
101105340632,1室1厅,白桦林居小区,62.69,79,84.0,12602,176,2020.01.21,东,精装,塔楼,39.83237204881107,115.60794788534429,高楼层,9
101106750944,3室2厅,友泰小区,80.46,95,95.0,11808,9,2020.01.21,南北,其他,板塔结合,36.58720815702928,114.48607425597625,低楼层,7
101105740353,3室2厅,北康社区海璟新天,134.51,158,165.0,11747,130,2020.01.21,南北,精装,板塔结合,38.36011365070943,115.24462840149481,低楼层,33
101106650340,2室2厅,三迪枫丹,85.21,115,116.0,13497,23,2020.01.21,南,精装,板塔结合,28.051936221143922,120.64776615749831,中楼层,34
101106665162,3室2厅,恒大御景,133.73,170,175.0,12713,21,2020.01.21,北南,精装,板楼,30.651044908671018,103.80647200394718,中楼层,33
101106439550,2室2厅,曲江华著中城,56.41,95,95.0,16841,47,2020.01.21,西南,毛坯,塔楼,24.688407846380294,113.61150106464875,中楼层,35
101106106283,2室1厅,巴厘公馆,87.1,127,130.0,14581,88,2020.01.21,南,精装,塔楼,34.226489963830545,108.92922266619927,低楼层,22
101105965984,2室1厅,四棉厂住宅自强区,55.8,50,51.0,8961,103,2020.01.21,南,其他,板楼,29.974842923227975,106.30377604169256,低楼层,6
101105563328,2室2厅,新艺文教综合楼,88.42,105,107.0,11876,150,2020.01.21,西北,精装,塔楼,31.248085577426647,121.37295833128486,低楼层,26
101106520631,1室0厅,凯悦华庭,14.73,12,12.0,7943,36,2020.01.21,北,简装,塔楼,22.546349866949576,114.13284021295853,中楼层,26
101105898631,3室2厅,古迹岭小区,99.89,89,92.0,8910,111,2020.01.21,南西北,简装,板塔结合,28.73754945586332,114.85587670583197,中楼层,7
101104442778,2室2厅,中铁缇香郡,77.66,110,113.0,14165,290,2020.01.21,南北,精装,板塔结合,22.526434279599716,113.97896982152743,中楼层,33
101105197927,1室1厅,东方米兰,53.14,69,69.0,12985,193,2020.01.21,西北,精装,塔楼,19.10110473128863,108.65856652679174,中楼层,27
101105603506,2室1厅,设计院小区,62.0,69,72.0,11130,145,2020.01.21,南,简装,板楼,22.552563024816266,114.14032498429573,中楼层,7
101106188248,2室2厅,浐灞半岛A14区,84.78,100,100.0,11796,78,2020.01.21,东南,简装,板塔结合,34.32463901730524,109.04515096853405,低楼层,18
101104884386,2室1厅,中铁缤纷南郡,92.0,172,175.0,18696,229,2020.01.21,南,精装,板塔结合,22.526434279599716,113.97896982152743,低楼层,33
101105396662,4室2厅,西雅图翡翠城,194.94,220,253.0,11286,168,2020.01.20,南北,毛坯,塔楼,34.25567268312633,108.91918122754764,高楼层,26
101104294275,3室1厅,东方罗马花园,87.44,114,118.0,12992,310,2020.01.20,东,精装,板塔结合,19.10110473128863,108.65856652679174,低楼层,27
101106039372,3室2厅,省直机关丰园小区,124.21,160,164.0,12882,94,2020.01.20,西南,精装,板塔结合,34.31354919742019,108.9628745380613,低楼层,32
101104361217,3室2厅,腾业南院,126.12,228,235.0,18079,301,2020.01.20,南北,精装,板楼,23.356653546570968,112.71216403075077,中楼层,27
101106448489,2室2厅,怡兰星空,68.71,83,85.0,12080,46,2020.01.20,西南,简装,塔楼,45.58154631565984,84.88539422712192,高楼层,28
